,name,abbrev,wins,losses,elo,round 1,round 2,round 3,round 4,round 5
5,Purdue Boilermakers,PUR,28,3,1711.5,78.6,55.9,39.0,26.6,26.6
25,Kentucky Wildcats,UK,23,8,1632.4,72.1,49.6,24.2,14.0,14.0
43,Creighton Bluejays,CREI,22,9,1606.8,65.8,40.2,21.6,10.5,10.5
132,Iowa State Cyclones,ISU,13,6,1611.3,61.6,35.2,20.3,9.8,9.8
214,Utah State Aggies,USU,13,3,1602.1,68.9,36.6,20.7,9.8,9.8
222,Washington State Cougars,WSU,5,2,1556.8,60.8,29.5,13.8,5.7,5.7
29,Texas Longhorns,TEX,15,10,1570.1,55.5,20.9,10.7,5.2,5.2
27,San Diego State Aztecs,SDSU,8,7,1524.9,60.5,25.0,8.8,3.8,3.8
23,Texas A&M Aggies,TA&M,9,8,1529.7,38.4,17.6,8.2,3.1,3.1
217,Boise State Broncos,BOIS,3,2,1531.5,44.5,14.6,6.7,2.9,2.9
112,Virginia Cavaliers,UVA,4,5,1494.0,34.2,15.5,6.0,2.0,2.0
18,NJIT Highlanders,NJIT,0,1,1480.0,39.2,14.8,5.5,1.7,1.7
66,Texas A&M-Corpus Christi Islanders,AMCC,0,2,1467.6,27.9,12.8,3.7,1.3,1.3
130,Mississippi State Bulldogs,MSST,3,7,1450.2,39.5,12.7,3.4,1.2,1.2
38,Morehead State Eagles,MORE,0,2,1462.3,31.1,10.5,4.0,1.2,1.2
125,Montana Grizzlies,MONT,0,1,1485.8,21.4,8.6,3.4,1.2,1.2
67,North Dakota State Bison,NDSU,0,1,1481.2,0.0,0.0,0.0,0.0,0.0
